,city,x,y,gid,pid
11,11,120.697352050345,36.3787600601826,0.0,5.0
15,15,120.69835815251601,36.380561592793796,0.0,22.0
18,18,120.69605849041099,36.382479307055,0.0,38.0
30,30,120.699364254687,36.3874186543919,0.0,56.0
19,19,120.70051408574,36.3827698656601,0.0,67.0
16,16,120.70252629008301,36.3812008361815,0.0,70.0
13,13,120.701160865707,36.379050632806,0.0,72.0
8,8,120.70317307004998,36.377539643205104,0.0,76.0
0,0,120.701520187911,36.37423,0.0,84.0
5,5,120.699795441332,36.375912390517705,0.0,89.0
4,4,120.69871747472,36.374575692975704,0.0,91.0
25,25,120.70885036087299,36.3702167356635,1.0,7.0
26,26,120.708706631991,36.3673106272386,1.0,23.0
27,27,120.71301849843901,36.3682987163894,1.0,48.0
31,31,120.71294663399799,36.3720184678931,1.0,61.0
6,6,120.706910020971,36.375796156868795,1.0,71.0
1,1,120.701520187911,36.37423,1.0,85.0
7,7,120.70561646103701,36.3724834242158,1.0,85.0
20,20,120.699867305773,36.370797944207794,2.0,9.0
2,2,120.701520187911,36.37423,2.0,10.0
24,24,120.705257138833,36.3689961834627,2.0,29.0
32,32,120.700226627977,36.3642881583163,2.0,45.0
29,29,120.693758828305,36.3624281185739,2.0,61.0
28,28,120.68966255517999,36.366613144922496,2.0,73.0
22,22,120.69648967705601,36.3682405938486,2.0,80.0
23,23,120.69692086370002,36.3714372685473,2.0,95.0
3,3,120.701520187911,36.37423,3.0,0.0
10,10,120.69433374383199,36.375214985995605,3.0,0.0
12,12,120.69620221929199,36.3764354397698,3.0,8.0
14,14,120.693902557187,36.38021291234811,3.0,17.0
17,17,120.6914591662,36.3820144110088,3.0,31.0
9,9,120.692896455016,36.37800456623629,3.0,58.0
21,21,120.692896455016,36.370797944207794,3.0,81.0
